"individual_slope","annual_pct_change"
-0.112623349228381,-22.8427659131058
-0.0367562819864824,-8.11519076549
-0.0836523438149677,-17.5201891745065
-0.0980457499650461,-20.2089371608412
-0.143588217868637,-28.1524799699412
-0.140156615421707,-27.5825239164167
-0.0597964414489039,-12.8628084242704
-0.146297450162907,-28.5992867993736
-0.386528889357119,-58.935067751006
0.15693330092791,43.5268987399977
-0.195290169985953,-36.2162821434372
-0.189844198897891,-35.4114103996128
-0.141873824041281,-27.8682986388779
-0.122366599770485,-24.5544897252179
-0.156590910959762,-30.2716980804829
-0.0684929613085583,-14.5903310189726
-0.167098183348633,-31.9384529193786
-0.02243602144964,-5.03491122782976
-0.0513108600400589,-11.1435128290881
-0.0773890182569589,-16.322059684919
0.086338993905223,21.9941467713583
-0.0575260069703055,-12.4060738037918
-0.160893431329062,-30.9590801964628
-0.178645430477351,-33.7242624436663
-0.0665043957602376,-14.198356983074
-0.198991687735223,-36.7576044336753
-0.18181009812297,-34.2054528856746
-0.0692966822047035,-14.7482470385737
-0.00509504172475024,-1.16632182719287
0.0443025516817084,10.7394983131862
0.198970941819023,58.1142243188527
0.0236292292050265,5.59156560468406
0.0182479957286791,4.29127952067208
-0.254925473359659,-44.4000339188167
-0.144152900429847,-28.2458375393068
-0.182401552832393,-34.2949958341941
0.019008128123007,4.47397720686193
-0.0655047750502685,-14.0006388758109
-0.196857983606707,-36.4461277892435
-0.164432348898355,-31.51938513071
-0.0901330816822595,-18.7418522874793
-0.322371455160808,-52.3976333790944
-0.112219355928959,-22.7709586269096
0.013417638112812,3.13774650504384
-0.0376929854657625,-8.31315798005624
-0.292551148936724,-49.0142454321237
-0.0873947847452189,-18.2278879145877
-0.149015814192152,-29.0448069792637
-0.0320975414852896,-7.12422333844562
0.0189012875405627,4.4482787737341
-0.116377669372703,-23.5068878646006
-0.0514836635917787,-11.1788613376225
-0.106881618547826,-21.8159107632133
-0.159027280067016,-30.661774993253
-0.113422629698984,-22.9846363683055
-0.113423137780867,-22.984726468663
-0.175042273113543,-33.1721134152047
0.0232402232902622,5.49702755595183
-0.104927565145262,-21.4633387044439
-0.00695284165291873,-1.58820385022281
0.214095452024918,63.7176310991327
-0.0901966659120287,-18.7537482676091
0.0402871084420888,9.72033083452721
-0.125719077650435,-25.1346391277034
-0.0538573080141322,-11.6629906790874
-0.122745578740964,-24.6202971240645
0.138995753453059,37.7196002556453
-0.13338640318943,-26.444763395704
-0.148663545032889,-28.9872297656447
-0.185071721150743,-34.6977299073057
-0.15222578518047,-29.5673198406549
-0.113593985646447,-23.0150176832275
-0.0974619002716992,-20.1015968242648
-0.186947595335473,-34.9791856244854
-0.0956278872795665,-19.7634747492581
-0.167643961173509,-32.0239321355653
-0.253882653934911,-44.2663679527383
-0.134668050027481,-26.661512339617
-0.125917913764871,-25.1689074201521
-0.197621328356897,-36.557736171139
-0.0554800765700232,-11.9924515430139
-0.226218532741546,-40.6006808169309
-0.056561262833091,-12.2112758946312
-0.0819595984783596,-17.1980810949826
-0.149614174959971,-29.1425000676572
-0.0779388579848886,-16.4279333373383
-0.0644054394012916,-13.7826717443123
0.145513246020881,39.801955439507
-0.0581464790691282,-12.5311289993475
-0.263164675800183,-45.4449040168897
-0.0789820682209287,-16.6284392434481
0.0163679186336885,3.84077449161575
0.144012269052377,39.3196160929203
-0.0888608475188078,-18.5034634405739
-0.174557162837667,-33.0974244456928
-0.105182015199408,-21.5093392997843
-0.0903814207533596,-18.7883041889014
-0.105335412692786,-21.5370581518082
-0.112030824343526,-22.7374254483376
-0.0842271144312721,-17.6292755592882
-0.0224421250525867,-5.03624586399661
-0.189586589309469,-35.3730871502796
-0.109424561152977,-22.2723676642242
-0.11980729106687,-24.1085747625743
-0.158469483196048,-30.5726615118476
-0.110943646024338,-22.5437701650353
-0.0713621180712893,-15.1527283051343
-0.128028947910928,-25.5317664570371
-0.137092191741017,-27.0697322061491
-0.132864660446206,-26.356344191811
-0.0596450519173003,-12.832428213015
-0.1156128032882,-23.3720518484356
-0.0216889360123113,-4.8714090527581
-0.0866024658253415,-18.0785682003005
-0.0939591703852837,-19.4545838664913
-0.0993854445129491,-20.4546942495289
-0.0918624323381136,-19.0647769999524
-0.165596038647804,-31.7026329578208
-0.020059328954366,-4.51378665724158
0.0658397884301289,16.3696661620866
-0.0804750349214434,-16.9145521651076
-0.166472913568319,-31.8403916259686
-0.112399795566347,-22.8030389003759
-0.104321237753707,-21.3536154928337
-0.260906944783253,-45.1605544527704
-0.14774387241133,-28.8366920508774
-0.100629455564133,-20.6822210844953
0.0548666727150245,13.4662423761954
-0.15593952306618,-30.1670357995778
-0.112359929035983,-22.795952196812
0.133071826876746,35.8538113224436
-0.0578645814270122,-12.4743351102075
-0.0812513560295231,-17.0629385129132
-0.00631976901903228,-1.44464401132425
-0.184373158280335,-34.5926066536149
-0.0966569136800485,-19.9533637927542
-0.144798536077633,-28.3524302512511
-0.113639958643141,-23.0231666309254
-0.105180524224333,-21.5090698332714
-0.162330567071296,-31.1871677979393
0.0357385181647706,8.57717008188452
0.0215650322909252,5.09088086739973
0.00344485918873669,0.796362371678372
0.0923649957635101,23.6986602062675
-0.146914881445931,-28.7007242181254
-0.0744632929208167,-15.756440792592
-0.186423353016819,-34.9006507929142
-0.159938698983872,-30.8071369689768
-0.0666584966320875,-14.2287966110697
-0.0683888175212771,-14.569847330253
-0.172090480598712,-32.7163536581882
-0.264899421578604,-45.6623842390743
-0.00301782532529847,-0.692471252369908
-0.0955472296256236,-19.7485717487391
-0.15557314822581,-30.1080992090798
0.0810829809324901,20.5266209380149
-0.089441591371598,-18.6123687674984
-0.169428944779017,-32.3027456193742
-0.17100277011145,-32.5476274709619
-0.2290583551205,-40.9878218421153
-0.0656693653109493,-14.0332250034421
-0.154651858213415,-29.9596767475361
-0.130659714724652,-25.9814990637492
-0.122694456259144,-24.611423365658
-0.180282444985534,-33.973609667048
-0.0351691765365595,-7.77878844408437
-0.0907857594073894,-18.8638790530849
-0.0898238274101005,-18.6839690316813
-0.104030570757659,-21.3009609901931
-0.130524809242457,-25.9585030252503
-0.176634102921356,-33.4166108892039
0.0195516910188689,4.60481868154823
-0.0661965683601956,-14.1375193246806
-0.0846872468230312,-17.7165006310824
-0.163932071962753,-31.4404547889545
-0.0781315141785172,-16.4649982927248
-0.149099009255342,-29.0583981176205
-0.0844486473923701,-17.6712820271324
-0.0793285651315308,-16.6949297666421
-0.126444675819736,-25.2596161119696
-0.0202301701684494,-4.55134129619038
0.0519737757755529,12.7129394093508
-0.0833347057879662,-17.4598423164866
-0.110431646952041,-22.4524015080284
0.0237751900431091,5.62705954778069
-0.243369106366491,-42.9006856006452
-0.0587278532760593,-12.6481420535124
-0.100691538416426,-20.6935588339014
0.0408041065818411,9.85102322519322
-0.040503580093864,-8.9046057187232
-0.134092764646258,-26.5643006142552
-0.255145062296445,-44.4281393907035
-0.113710232256662,-23.0356213196995
-0.021228156934569,-4.7704256702102
-0.0439238408064199,-9.619204567809
-0.261378471731316,-45.2200630235284
-0.107402193458735,-21.9095713861969
-0.0827076508415286,-17.3405808497589
-0.0320807618921707,-7.12063487965977
-0.124612870306495,-24.9437037654635
-0.0931641090458019,-19.3069946097412
-0.193501695261494,-35.9530718497031
-0.0494490150925504,-10.761762346911
-0.105832421142151,-21.6268001153237
-0.0417724568957027,-9.17037041050742
-0.148270836866591,-28.9229878555921
0.0758752320446658,19.0899826654631
-0.172762226435146,-32.8203443247045
0.0503214517716978,12.2849246191655
-0.0819084621220052,-17.1883309418097
-0.25262995516196,-44.1053752517167
-0.125059201855362,-25.0208007261567
-0.143145959093202,-28.07927761072
-0.170055010373185,-32.400265595489
-0.198659611291665,-36.709228638254
0.00949039672109903,2.20929594557255
-0.10018682016866,-20.6013387441603
-0.107839270964215,-21.9881226959124
-0.063472757482972,-13.5973142154173
-0.114952780242418,-23.2555072798335
-0.063538382832577,-13.6103693618965
-0.164901920753962,-31.5933883536155
-0.0941219285906531,-19.4847637830199
-0.0602170207892761,-12.9471529518559
-0.0644758063573465,-13.7966400532233
-0.136985537478576,-27.0518197540552
-0.0391657877766087,-8.62356459453426
-0.0792743337620933,-16.6845266178324
-0.120913080637856,-24.3015617869269
-0.107348043224514,-21.8998340332933
-0.107939215146589,-22.0060735024358
-0.148775131171975,-29.0054732001934
-0.176979744652037,-33.4695814959352
-0.189608357108908,-35.3763263128315
-0.141329228058669,-27.7777902937158
-0.120230269591114,-24.1824527818508
-0.223466602986321,-40.2230988961068
-0.0439330671476669,-9.62112463642129
-0.152835466095277,-29.6661268373875
-0.20527525570977,-37.6660362214177
-0.21337986521814,-38.8184979838712
-0.129485252963949,-25.7810600679102
0.032100823970421,7.67151502527834
-0.0582825062665513,-12.5585212015057
-0.0807356645148489,-16.9643985965313
-0.102281027517274,-20.9832846550468
-0.108549246246433,-22.1155506491512
-0.142122898002255,-27.9096553182508
-0.0160349570167255,-3.62485533031056
-0.104087009842651,-21.3111877219075
-0.054329732926964,-11.7590313048867
-0.0631504348193452,-13.5331644687194
-0.0433953703582456,-9.50915792028488
-0.157410842073346,-30.4032182147009
-0.109223444217668,-22.2363645281115
-0.202406933040598,-37.2529854962747
-0.192858566134548,-35.8581570847347
-0.0178802921131529,-4.03348851515171
-0.163173399229644,-31.3205828627454
-0.150441213691415,-29.2773075223009
