SA3_code,YOT,n_tests
31403,2024,5
31501,2018,1
31501,2020,4
31501,2021,2
31501,2022,2
31501,2023,3
31501,2024,6
31502,2021,1
31502,2022,1
31502,2023,1
31502,2024,1
31503,2015,2
31503,2016,2
31503,2017,1
31503,2018,2
31503,2020,2
31503,2021,3
31503,2022,2
31503,2024,1
31601,2015,1
31601,2018,1
31601,2019,2
31601,2021,1
31601,2022,3
31601,2023,1
31602,2014,6
31602,2015,8
31602,2016,5
31602,2017,2
31602,2018,2
31602,2019,4
31602,2020,6
31602,2021,6
31602,2022,3
31602,2023,3
31602,2024,4
31603,2014,1
31603,2015,3
31603,2017,1
31603,2018,3
31603,2019,3
31603,2020,5
31603,2021,3
31603,2022,4
31603,2023,4
31603,2024,2
31605,2014,2
31605,2015,1
31605,2016,2
31605,2017,1
31605,2018,1
31605,2019,1
31605,2020,3
31605,2021,5
31605,2022,4
31605,2023,2
31605,2024,2
31606,2014,27
31606,2015,22
31606,2016,34
31606,2017,36
31606,2018,34
31606,2019,36
31606,2020,22
31606,2021,51
31606,2022,32
31606,2023,66
31606,2024,70
31607,2014,4
31607,2015,3
31607,2016,1
31607,2017,2
31607,2018,2
31607,2019,4
31607,2020,4
31607,2021,2
31607,2022,3
31607,2023,2
31607,2024,5
31608,2014,5
31608,2015,11
31608,2016,5
31608,2017,2
31608,2018,5
31608,2019,9
31608,2020,5
31608,2021,8
31608,2022,8
31608,2023,5
31608,2024,8
31701,2014,2
31701,2015,7
31701,2016,4
31701,2017,4
31701,2018,7
31701,2019,4
31701,2020,7
31701,2021,9
31701,2022,4
31701,2023,9
31701,2024,6
31801,2014,1
31801,2017,1
31801,2019,1
31801,2020,1
31801,2021,1
31801,2022,3
31801,2023,2
31801,2024,1
31802,2015,1
31802,2016,3
31802,2017,3
31802,2019,2
31802,2020,3
31802,2021,7
31802,2022,7
31802,2023,11
31802,2024,14
31901,2014,3
31901,2015,1
31901,2017,3
31901,2018,2
31901,2019,5
31901,2020,5
31901,2021,8
31901,2022,3
31901,2023,6
31901,2024,6
31902,2015,2
31902,2016,4
31902,2017,1
31902,2018,2
31902,2019,2
31902,2020,1
31902,2021,1
31902,2022,2
31902,2023,2
31902,2024,5
31903,2014,2
31903,2015,3
31903,2016,4
31903,2017,7
31903,2018,4
31903,2019,5
31903,2020,6
31903,2021,2
31903,2022,2
31903,2023,8
31903,2024,8
31905,2014,2
31905,2015,2
31905,2016,2
31905,2017,2
31905,2018,5
31905,2019,7
31905,2020,8
31905,2021,6
31905,2022,4
31905,2023,8
31905,2024,14
40102,2017,1
40102,2019,1
40102,2020,1
40102,2021,1
40102,2024,2
40106,2021,1
40106,2022,1
40106,2023,1
40106,2024,1
40202,2016,1
40202,2017,1
40202,2022,1
40202,2023,1
40204,2016,2
40204,2018,1
40204,2019,2
40204,2020,1
40301,2019,2
40301,2020,1
40301,2021,1
40301,2024,1
40302,2016,1
40302,2018,1
40302,2023,2
40303,2014,1
40303,2016,1
40303,2019,1
40303,2020,1
40303,2023,1
40304,2017,1
40304,2018,1
40304,2019,1
40304,2020,1
40304,2021,2
40304,2024,1
40602,2019,1
40602,2020,1
40602,2023,1
40701,2021,3
40701,2023,1
40701,2024,1
50101,2018,2
50101,2019,1
50101,2020,2
50102,2019,2
50102,2020,1
50102,2021,2
50102,2022,2
50102,2024,1
50201,2014,1
50201,2020,1
50201,2021,3
50201,2022,1
50201,2024,2
50302,2015,1
50302,2017,1
50302,2018,1
50302,2019,1
50302,2020,2
50302,2021,1
50302,2022,2
50302,2024,1
50401,2019,1
50401,2021,1
50401,2022,1
50403,2018,1
50403,2020,3
50403,2022,2
50403,2024,1
50501,2014,1
50501,2015,1
50501,2020,2
50501,2021,6
50501,2024,1
50502,2015,2
50502,2018,3
50502,2019,2
50502,2021,1
50502,2022,5
50502,2024,4
50503,2020,1
50503,2021,1
50503,2022,5
50503,2023,1
50503,2024,1
50602,2015,2
50602,2017,1
50602,2024,1
50603,2015,1
50603,2017,1
50603,2021,2
50603,2022,4
50603,2024,1
50604,2015,1
50604,2020,1
50604,2021,1
50604,2022,1
50605,2021,1
50605,2022,1
50605,2024,1
50607,2015,1
50607,2021,1
50607,2023,1
50607,2024,1
50701,2014,2
50701,2017,1
50701,2020,2
50701,2022,6
50701,2024,2
50702,2019,1
50702,2021,1
50702,2022,1
50702,2024,1
50704,2015,2
50704,2020,1
50704,2021,4
50704,2024,1
50705,2018,1
50705,2020,2
50705,2021,5
50705,2024,2
50901,2015,2
50901,2017,1
50901,2023,1
50902,2015,2
50902,2020,1
50902,2022,1
50902,2023,1
51103,2014,1
51103,2020,1
51103,2022,1
60102,2015,1
60102,2016,2
60102,2017,3
60102,2019,1
60102,2020,1
60102,2021,2
60102,2022,1
60102,2023,2
60102,2024,2
60103,2016,1
60103,2019,1
60103,2021,1
60103,2024,2
60104,2020,1
60104,2022,1
60104,2024,2
60105,2016,1
60105,2019,3
60105,2020,1
60105,2022,3
60105,2023,1
60105,2024,1
60201,2017,3
60201,2018,1
60201,2019,1
60201,2020,4
60201,2021,3
60201,2022,2
60201,2023,1
60201,2024,1
60203,2019,1
60203,2020,1
60203,2023,1
60302,2016,2
60302,2018,3
60302,2019,1
60302,2021,1
60302,2022,2
60302,2023,2
60302,2024,1
60401,2017,1
60401,2019,1
60401,2024,1
60402,2020,2
60402,2021,2
60402,2022,1
60402,2023,3
60402,2024,4
60403,2017,1
60403,2018,1
60403,2020,1
60403,2023,1
70101,2019,1
70101,2021,2
70101,2022,2
70101,2023,2
70101,2024,4
70102,2017,1
70102,2018,2
70102,2020,2
70102,2021,1
70102,2022,1
70102,2023,5
70102,2024,4
70103,2020,2
70103,2021,3
70103,2022,1
70103,2023,1
70103,2024,1
70104,2015,1
70104,2019,2
70104,2020,1
70104,2021,3
70104,2023,6
70201,2014,1
70201,2016,1
70201,2020,4
70201,2021,3
70201,2022,6
70201,2023,3
70201,2024,4
70202,2014,2
70202,2016,2
70202,2017,1
70202,2020,1
70202,2021,2
70202,2022,1
70202,2023,1
70202,2024,1
70205,2021,2
70205,2023,1
70205,2024,1
80101,2015,2
80101,2017,1
80101,2018,2
80101,2019,1
80101,2020,1
80101,2021,2
80101,2022,3
80101,2023,6
80101,2024,10
80103,2014,1
80103,2015,2
80103,2017,1
80103,2018,1
80103,2019,3
80103,2020,1
80103,2021,2
80103,2023,5
80103,2024,9
80104,2015,1
80104,2017,2
80104,2018,1
80104,2021,1
80104,2022,4
80104,2023,2
80104,2024,5
80105,2014,1
80105,2015,3
80105,2016,2
80105,2017,1
80105,2018,2
80105,2019,3
80105,2020,2
80105,2021,1
80105,2022,3
80105,2023,6
80105,2024,11
80106,2014,1
80106,2015,1
80106,2017,1
80106,2018,3
80106,2019,2
80106,2021,2
80106,2023,2
80106,2024,3
80107,2016,1
80107,2017,1
80107,2018,2
80107,2019,2
80107,2020,1
80107,2021,2
80107,2022,3
80107,2023,9
80107,2024,7
80109,2014,2
80109,2015,2
80109,2017,2
80109,2019,2
80109,2021,1
80109,2022,1
80109,2023,3
80109,2024,3
NA,2015,1
NA,2016,1
NA,2017,1
NA,2018,1
NA,2020,3
NA,2021,3
NA,2022,1
NA,2023,2
NA,2024,5
