SA3_code,YOT,n_tests
12602,2015,8
12602,2016,9
12602,2017,10
12602,2018,14
12602,2019,13
12602,2020,12
12602,2021,13
12602,2022,12
12602,2023,30
12602,2024,24
12701,2015,2
12701,2016,3
12701,2017,1
12701,2018,3
12701,2020,1
12701,2022,2
12701,2023,1
12701,2024,1
12702,2016,4
12702,2017,2
12702,2018,3
12702,2019,4
12702,2020,4
12702,2021,4
12702,2022,6
12702,2023,6
12702,2024,5
12703,2015,1
12703,2017,2
12703,2018,1
12703,2020,1
12703,2021,1
12703,2022,1
12703,2023,5
12703,2024,4
12801,2014,2
12801,2015,2
12801,2016,2
12801,2017,5
12801,2018,2
12801,2019,5
12801,2020,3
12801,2021,3
12801,2022,2
12801,2023,6
12801,2024,5
12802,2014,1
12802,2015,1
12802,2016,2
12802,2017,4
12802,2019,7
12802,2020,1
12802,2021,1
12802,2022,2
12802,2023,6
12802,2024,8
20101,2019,1
20101,2021,2
20101,2023,1
20101,2024,2
20102,2017,1
20102,2019,1
20102,2024,1
20201,2014,1
20201,2016,1
20201,2018,1
20201,2019,4
20201,2021,3
20201,2022,1
20201,2023,1
20201,2024,1
20202,2016,1
20202,2017,2
20202,2018,1
20202,2019,1
20301,2016,1
20301,2017,1
20301,2019,1
20301,2020,1
20301,2023,2
20302,2015,1
20302,2016,2
20302,2017,2
20302,2018,7
20302,2020,3
20302,2021,3
20302,2023,5
20302,2024,1
20303,2017,1
20303,2019,1
20303,2021,3
20303,2022,1
20303,2024,1
20401,2016,1
20401,2023,1
20401,2024,1
20402,2016,1
20402,2018,2
20402,2019,1
20402,2022,1
20402,2023,1
20402,2024,1
20403,2014,1
20403,2016,1
20403,2017,1
20403,2024,1
20501,2018,2
20501,2019,1
20501,2020,1
20501,2023,1
20501,2024,2
20502,2014,2
20502,2016,1
20502,2017,1
20502,2019,1
20502,2022,1
20502,2023,3
20502,2024,8
20504,2017,1
20504,2018,2
20504,2019,1
20504,2020,2
20504,2021,1
20504,2022,1
20504,2023,1
20504,2024,3
20505,2016,1
20505,2018,1
20505,2019,2
20505,2020,1
20601,2014,2
20601,2016,2
20601,2017,1
20601,2019,2
20601,2020,2
20601,2023,2
20601,2024,1
20602,2014,1
20602,2015,1
20602,2016,1
20602,2019,1
20603,2016,1
20603,2019,1
20603,2024,2
20604,2014,3
20604,2015,2
20604,2016,1
20604,2017,1
20604,2018,2
20604,2019,1
20604,2020,2
20604,2021,3
20604,2022,1
20604,2023,4
20604,2024,3
20605,2016,1
20605,2017,2
20605,2018,2
20605,2019,1
20605,2020,1
20605,2021,2
20605,2022,3
20605,2023,2
20605,2024,2
20606,2017,2
20606,2021,2
20606,2022,5
20606,2023,2
20606,2024,3
20607,2014,1
20607,2015,2
20607,2016,2
20607,2017,3
20607,2019,3
20607,2020,1
20607,2022,2
20607,2023,4
20607,2024,2
20701,2014,2
20701,2015,1
20701,2016,1
20701,2017,3
20701,2019,4
20701,2020,2
20701,2021,3
20701,2022,5
20701,2023,4
20701,2024,3
20702,2015,1
20702,2018,1
20702,2019,2
20702,2020,2
20702,2021,2
20702,2022,1
20702,2023,2
20702,2024,1
20703,2014,1
20703,2018,2
20703,2019,2
20703,2020,1
20703,2021,2
20703,2022,3
20703,2023,2
20703,2024,2
20801,2016,1
20801,2017,2
20801,2019,3
20801,2020,2
20801,2021,3
20801,2023,4
20802,2014,3
20802,2016,1
20802,2018,2
20802,2019,3
20802,2020,3
20802,2021,1
20802,2022,2
20802,2023,4
20802,2024,5
20803,2015,1
20803,2017,4
20803,2018,4
20803,2019,1
20803,2020,1
20803,2022,1
20803,2023,4
20803,2024,2
20804,2016,1
20804,2017,1
20804,2019,1
20804,2022,2
20804,2023,3
20901,2014,3
20901,2015,4
20901,2016,1
20901,2017,2
20901,2018,1
20901,2019,2
20901,2020,2
20901,2022,1
20901,2024,2
20902,2015,2
20902,2017,1
20902,2020,4
20902,2022,2
20902,2024,3
20903,2016,2
20903,2017,2
20903,2018,1
20903,2020,1
20903,2021,2
20903,2022,1
20903,2023,1
20903,2024,2
20904,2014,3
20904,2015,6
20904,2017,1
20904,2018,1
20904,2019,1
20904,2020,1
20904,2021,2
20904,2022,1
20904,2023,1
20904,2024,2
21001,2018,1
21001,2019,1
21001,2020,1
21001,2022,2
21001,2023,2
21002,2020,2
21002,2023,1
21002,2024,1
21003,2019,1
21003,2022,1
21003,2023,3
21003,2024,1
21005,2018,1
21005,2019,1
21005,2020,1
21005,2021,3
21005,2022,1
21005,2023,2
21005,2024,2
21101,2014,1
21101,2015,1
21101,2017,4
21101,2018,3
21101,2019,2
21101,2020,1
21101,2021,1
21101,2023,3
21101,2024,2
21102,2015,1
21102,2017,1
21102,2018,3
21102,2019,2
21102,2020,2
21102,2022,1
21102,2024,1
21103,2016,2
21103,2017,4
21103,2018,2
21103,2019,1
21103,2021,3
21103,2022,3
21103,2023,2
21104,2016,1
21104,2021,1
21104,2023,1
21104,2024,2
21105,2014,2
21105,2016,1
21105,2017,2
21105,2018,3
21105,2019,4
21105,2020,2
21105,2021,3
21105,2022,5
21105,2023,2
21105,2024,6
21201,2017,1
21201,2018,1
21201,2019,1
21201,2020,1
21201,2022,2
21201,2024,2
21202,2016,2
21202,2017,2
21202,2019,3
21202,2020,3
21202,2021,2
21202,2022,2
21202,2023,6
21202,2024,1
21203,2019,1
21203,2020,1
21203,2023,2
21203,2024,1
21204,2014,1
21204,2015,1
21204,2016,1
21204,2018,3
21204,2019,1
21204,2020,3
21204,2022,3
21204,2023,4
21204,2024,3
21205,2014,2
21205,2015,1
21205,2017,1
21205,2018,2
21205,2019,3
21205,2020,4
21205,2021,1
21205,2022,3
21205,2023,3
21205,2024,1
21301,2014,1
21301,2019,2
21301,2020,1
21301,2022,1
21301,2024,1
21302,2014,1
21302,2019,2
21302,2021,2
21302,2024,1
21303,2015,1
21303,2016,1
21303,2017,2
21303,2018,1
21303,2019,1
21303,2022,1
21303,2023,1
21303,2024,1
21304,2015,1
21304,2017,2
21304,2019,1
21304,2021,2
21304,2022,2
21304,2023,2
21305,2017,2
21305,2018,3
21305,2019,2
21305,2020,1
21305,2021,1
21305,2022,3
21305,2023,2
