"SA_code","SA_name","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","ct24pos","ct24all","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","cpp14","cpp15","cpp16","cpp17","cpp18","cpp19","cpp20","cpp21","cpp22","cpp23","cpp24","tpp14","tpp15","tpp16","tpp17","tpp18","tpp19","tpp20","tpp21","tpp22","tpp23","tpp24","ccpp24","ctpp24","c1M","t1M","c1MPPY"
21402,"Mornington Peninsula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,1,2,3,4,2,4,5,NA,29,156500,158831,161528,164188,166564,168594,170186,170440,169733,170243,171450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638977635782748,1.8888000453312,0.619087712347085,1.82717372767803,0.600369827813933,1.1862818368388,1.76277719671418,2.34686693264492,1.17832124572122,2.34958265538084,2.91630212890055,NA,16.9145523476232,NA,169.145523476232,0
21501,"Grampians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,3,59732,59531,59502,59560,59667,59880,60232,60060,59794,59576,59413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68061577762092,NA,NA,NA,NA,NA,1.67240860286985,1.67852826641601,NA,NA,5.04939996297107,NA,50.4939996297107,0
21502,"Mildura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,53737,54156,54658,55433,56154,56764,57335,56966,57250,57554,57626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84651746805525,1.82955834461561,NA,NA,NA,NA,NA,1.74672489082969,3.47499739375196,NA,NA,8.67663901711033,NA,86.7663901711033,0
21503,"Murray River - Swan Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37809,37735,37747,37892,38055,38135,38230,38128,37893,37672,37454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21601,"Campaspe",0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,4,37496,37585,37748,37950,38100,38282,38536,38714,38718,38460,38317,0,0,0,0,2.6246719160105,0,0,0,0,0,0,2.66695114145509,NA,NA,2.63504611330698,2.6246719160105,2.6121937202863,NA,NA,NA,NA,NA,2.60980765717567,10.4392306287027,26.0980765717567,104.392306287027,2.38148538006125
21602,"Moira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,29100,29288,29486,29717,29910,30099,30298,30367,30584,30775,30836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.34336342360415,NA,NA,NA,3.26968349463772,NA,NA,NA,6.48592554157478,NA,64.8592554157478,0
21603,"Shepparton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,NA,1,NA,1,NA,9,63726,64297,64884,65760,66629,67535,68274,68325,68775,68949,69684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56204379562044,3.00169595821639,1.48071370400533,1.46468641063948,NA,1.45401672119229,NA,1.43504965271798,NA,12.9154468744619,NA,129.154468744619,0
21701,"Glenelg - Southern Grampians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,36073,35948,35945,36070,36245,36430,36618,36607,36504,36543,36591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73650220288427,NA,NA,2.73291246481375,NA,27.3291246481375,0
21703,"Colac - Corangamite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,4,37473,37512,37619,37835,38017,38171,38342,38299,38159,38184,38110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.21621198685515,2.61103423065876,NA,NA,2.62398320650748,NA,10.4959328260299,NA,104.959328260299,0
21704,"Warrnambool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,5,50201,50550,50927,51290,51709,52091,52504,52725,53053,53518,53856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93389932120134,NA,1.90461679110163,1.89663347558084,1.8849075452849,NA,1.85680332739156,NA,9.28401663695781,NA,92.8401663695781,0
29797,"Migratory - Offshore - Shipping (Vic.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29999,"No usual address (Vic.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30101,"Capalaba",5,2,1,0,1,4,0,0,0,1,1,9,6,3,6,3,5,2,4,1,4,5,15,48,73642,74023,74300,75017,75237,75325,75037,74516,74712,75713,76556,6.78960375872464,2.70186293449333,1.34589502018843,0,1.3291332721932,5.31032193826751,0,0,0,1.32077714527228,1.30623334552484,12.2212867657044,8.10558880348,4.03768506056528,7.99818707759574,3.98739981657961,6.63790242283438,2.6653517597985,5.36797466315959,1.33847306992183,5.28310858108911,6.53116672762422,19.5935001828727,62.6992005851925,195.935001828727,626.992005851925,18.2021604751007
