"measure","cum_denom","cum_event"
"α-Gal sensitised individuals (denominator: population)",0.372057849211846,0.974658085277554
"α-Gal sensitised individuals (denominator: population)",0.373984663088481,0.975060337892196
"α-Gal sensitised individuals (denominator: population)",0.376932352064867,0.975663716814159
"α-Gal sensitised individuals (denominator: population)",0.380999673891875,0.976468222043443
"α-Gal sensitised individuals (denominator: population)",0.382016808822866,0.976669348350764
"α-Gal sensitised individuals (denominator: population)",0.385124874650298,0.977272727272727
"α-Gal sensitised individuals (denominator: population)",0.390462996283642,0.978278358809332
"α-Gal sensitised individuals (denominator: population)",0.396920480524199,0.979485116653258
"α-Gal sensitised individuals (denominator: population)",0.39907908757639,0.9798873692679
"α-Gal sensitised individuals (denominator: population)",0.401318627124286,0.980289621882542
"α-Gal sensitised individuals (denominator: population)",0.403563812957778,0.980691874497184
"α-Gal sensitised individuals (denominator: population)",0.405810068955164,0.981094127111826
"α-Gal sensitised individuals (denominator: population)",0.411453097217176,0.982099758648431
"α-Gal sensitised individuals (denominator: population)",0.413712133926118,0.982502011263073
"α-Gal sensitised individuals (denominator: population)",0.415981872274001,0.982904263877715
"α-Gal sensitised individuals (denominator: population)",0.419404969849772,0.983507642799678
"α-Gal sensitised individuals (denominator: population)",0.422920360954103,0.984111021721641
"α-Gal sensitised individuals (denominator: population)",0.42416111329676,0.984312148028962
"α-Gal sensitised individuals (denominator: population)",0.425574907898164,0.984513274336283
"α-Gal sensitised individuals (denominator: population)",0.42708793227559,0.984714400643604
"α-Gal sensitised individuals (denominator: population)",0.432084927457157,0.985317779565567
"α-Gal sensitised individuals (denominator: population)",0.433771354417873,0.985518905872888
"α-Gal sensitised individuals (denominator: population)",0.435482614946124,0.985720032180209
"α-Gal sensitised individuals (denominator: population)",0.440632989476102,0.986323411102172
"α-Gal sensitised individuals (denominator: population)",0.444399422293101,0.986725663716814
"α-Gal sensitised individuals (denominator: population)",0.446283793541762,0.986926790024135
"α-Gal sensitised individuals (denominator: population)",0.451945216371717,0.987530168946098
"α-Gal sensitised individuals (denominator: population)",0.453944487910795,0.987731295253419
"α-Gal sensitised individuals (denominator: population)",0.460132676397313,0.988334674175382
"α-Gal sensitised individuals (denominator: population)",0.462300287959845,0.988535800482703
"α-Gal sensitised individuals (denominator: population)",0.466661757124654,0.988938053097345
"α-Gal sensitised individuals (denominator: population)",0.46886298696709,0.989139179404666
"α-Gal sensitised individuals (denominator: population)",0.473304195953365,0.989541432019308
"α-Gal sensitised individuals (denominator: population)",0.477924565509135,0.98994368463395
"α-Gal sensitised individuals (denominator: population)",0.480239056165314,0.990144810941271
"α-Gal sensitised individuals (denominator: population)",0.482635477416184,0.990345937248592
"α-Gal sensitised individuals (denominator: population)",0.485116239832939,0.990547063555913
"α-Gal sensitised individuals (denominator: population)",0.48765282012472,0.990748189863234
"α-Gal sensitised individuals (denominator: population)",0.490239723342239,0.990949316170555
"α-Gal sensitised individuals (denominator: population)",0.492935138296019,0.991150442477876
"α-Gal sensitised individuals (denominator: population)",0.498348250673346,0.991552695092518
"α-Gal sensitised individuals (denominator: population)",0.503862585421419,0.99195494770716
"α-Gal sensitised individuals (denominator: population)",0.506622300289978,0.992156074014481
"α-Gal sensitised individuals (denominator: population)",0.509533960415265,0.992357200321802
"α-Gal sensitised individuals (denominator: population)",0.515379292892198,0.992759452936444
"α-Gal sensitised individuals (denominator: population)",0.51839390494604,0.992960579243765
"α-Gal sensitised individuals (denominator: population)",0.524479202759175,0.993362831858407
"α-Gal sensitised individuals (denominator: population)",0.527558615578911,0.993563958165728
"α-Gal sensitised individuals (denominator: population)",0.530757915580745,0.993765084473049
"α-Gal sensitised individuals (denominator: population)",0.537302313704428,0.994167337087691
"α-Gal sensitised individuals (denominator: population)",0.54067283992931,0.994368463395012
"α-Gal sensitised individuals (denominator: population)",0.547538128678409,0.994770716009654
"α-Gal sensitised individuals (denominator: population)",0.554500424001097,0.995172968624296
"α-Gal sensitised individuals (denominator: population)",0.557995788267302,0.995374094931617
"α-Gal sensitised individuals (denominator: population)",0.561777300666445,0.995575221238938
"α-Gal sensitised individuals (denominator: population)",0.569503332684941,0.99597747385358
"α-Gal sensitised individuals (denominator: population)",0.57723219685435,0.996379726468222
"α-Gal sensitised individuals (denominator: population)",0.585088918584756,0.996781979082864
"α-Gal sensitised individuals (denominator: population)",0.589342319212493,0.996983105390185
"α-Gal sensitised individuals (denominator: population)",0.5936371391465,0.997184231697506
"α-Gal sensitised individuals (denominator: population)",0.597939104316204,0.997385358004827
"α-Gal sensitised individuals (denominator: population)",0.602326106078162,0.997586484312148
"α-Gal sensitised individuals (denominator: population)",0.611978425899459,0.99798873692679
"α-Gal sensitised individuals (denominator: population)",0.622870435106011,0.998390989541432
"α-Gal sensitised individuals (denominator: population)",0.628452554107198,0.998592115848753
"α-Gal sensitised individuals (denominator: population)",0.634757923738492,0.998793242156074
"α-Gal sensitised individuals (denominator: population)",0.64108944572515,0.998994368463395
"α-Gal sensitised individuals (denominator: population)",0.648039547665287,0.999195494770716
"α-Gal sensitised individuals (denominator: population)",0.655339744535087,0.999396621078037
"α-Gal sensitised individuals (denominator: population)",0.662820255012922,0.999597747385358
"α-Gal sensitised individuals (denominator: population)",0.670441165949112,0.999798873692679
"α-Gal sensitised individuals (denominator: population)",0.678807631604648,1
"α-Gal sensitised individuals (denominator: population)",0.679613807325185,1
"α-Gal sensitised individuals (denominator: population)",0.681100391087612,1
"α-Gal sensitised individuals (denominator: population)",0.682033764975232,1
"α-Gal sensitised individuals (denominator: population)",0.682840499198811,1
"α-Gal sensitised individuals (denominator: population)",0.682857567772434,1
"α-Gal sensitised individuals (denominator: population)",0.683372759804661,1
"α-Gal sensitised individuals (denominator: population)",0.685340290354706,1
"α-Gal sensitised individuals (denominator: population)",0.689215018713239,1
"α-Gal sensitised individuals (denominator: population)",0.694514167643963,1
"α-Gal sensitised individuals (denominator: population)",0.697279110821647,1
"α-Gal sensitised individuals (denominator: population)",0.69952824220889,1
"α-Gal sensitised individuals (denominator: population)",0.703534492629028,1
"α-Gal sensitised individuals (denominator: population)",0.709576248824333,1
"α-Gal sensitised individuals (denominator: population)",0.714789546829334,1
"α-Gal sensitised individuals (denominator: population)",0.719234726592078,1
"α-Gal sensitised individuals (denominator: population)",0.720419178224821,1
"α-Gal sensitised individuals (denominator: population)",0.72145752185844,1
"α-Gal sensitised individuals (denominator: population)",0.725418915476164,1
"α-Gal sensitised individuals (denominator: population)",0.72589118204553,1
"α-Gal sensitised individuals (denominator: population)",0.726728273611894,1
"α-Gal sensitised individuals (denominator: population)",0.734850122141372,1
"α-Gal sensitised individuals (denominator: population)",0.737131491765518,1
"α-Gal sensitised individuals (denominator: population)",0.740071545464828,1
"α-Gal sensitised individuals (denominator: population)",0.742226120485379,1
"α-Gal sensitised individuals (denominator: population)",0.744907958410361,1
"α-Gal sensitised individuals (denominator: population)",0.746674485517086,1
"α-Gal sensitised individuals (denominator: population)",0.748863770600907,1
"α-Gal sensitised individuals (denominator: population)",0.751670522235368,1
"α-Gal sensitised individuals (denominator: population)",0.754308256436232,1
"α-Gal sensitised individuals (denominator: population)",0.758215086108342,1
"α-Gal sensitised individuals (denominator: population)",0.762313309368196,1
"α-Gal sensitised individuals (denominator: population)",0.767234290484077,1
"α-Gal sensitised individuals (denominator: population)",0.768974124748623,1
"α-Gal sensitised individuals (denominator: population)",0.774069755170715,1
"α-Gal sensitised individuals (denominator: population)",0.778010095025365,1
"α-Gal sensitised individuals (denominator: population)",0.780474675266874,1
"α-Gal sensitised individuals (denominator: population)",0.781751438444403,1
"α-Gal sensitised individuals (denominator: population)",0.784983697332226,1
"α-Gal sensitised individuals (denominator: population)",0.786725358442208,1
"α-Gal sensitised individuals (denominator: population)",0.794342662529718,1
"α-Gal sensitised individuals (denominator: population)",0.800729699718785,1
"α-Gal sensitised individuals (denominator: population)",0.805314465606417,1
"α-Gal sensitised individuals (denominator: population)",0.81358416610581,1
"α-Gal sensitised individuals (denominator: population)",0.817097820445841,1
"α-Gal sensitised individuals (denominator: population)",0.824525399248242,1
"α-Gal sensitised individuals (denominator: population)",0.831113057936612,1
"α-Gal sensitised individuals (denominator: population)",0.83348019921508,1
"α-Gal sensitised individuals (denominator: population)",0.835705682502536,1
"α-Gal sensitised individuals (denominator: population)",0.83720733503737,1
"α-Gal sensitised individuals (denominator: population)",0.83839806352366,1
"α-Gal sensitised individuals (denominator: population)",0.841053071683138,1
"α-Gal sensitised individuals (denominator: population)",0.842492834874389,1
"α-Gal sensitised individuals (denominator: population)",0.84399798616054,1
"α-Gal sensitised individuals (denominator: population)",0.846060570325146,1
"α-Gal sensitised individuals (denominator: population)",0.848212179874704,1
"α-Gal sensitised individuals (denominator: population)",0.850286236772774,1
"α-Gal sensitised individuals (denominator: population)",0.852070855774826,1
"α-Gal sensitised individuals (denominator: population)",0.85486523026122,1
"α-Gal sensitised individuals (denominator: population)",0.857400772818316,1
"α-Gal sensitised individuals (denominator: population)",0.85920916963699,1
"α-Gal sensitised individuals (denominator: population)",0.861761424046411,1
"α-Gal sensitised individuals (denominator: population)",0.864219013991777,1
"α-Gal sensitised individuals (denominator: population)",0.865221440474904,1
"α-Gal sensitised individuals (denominator: population)",0.867049103846917,1
"α-Gal sensitised individuals (denominator: population)",0.86919731553603,1
"α-Gal sensitised individuals (denominator: population)",0.870687080964175,1
"α-Gal sensitised individuals (denominator: population)",0.87187627446791,1
"α-Gal sensitised individuals (denominator: population)",0.873432581029495,1
"α-Gal sensitised individuals (denominator: population)",0.874907191207343,1
"α-Gal sensitised individuals (denominator: population)",0.878795226351266,1
"α-Gal sensitised individuals (denominator: population)",0.881751909028257,1
"α-Gal sensitised individuals (denominator: population)",0.88742777726916,1
"α-Gal sensitised individuals (denominator: population)",0.891259317127915,1
"α-Gal sensitised individuals (denominator: population)",0.893892168931215,1
"α-Gal sensitised individuals (denominator: population)",0.898528259446816,1
"α-Gal sensitised individuals (denominator: population)",0.900945893003558,1
"α-Gal sensitised individuals (denominator: population)",0.90351992182514,1
"α-Gal sensitised individuals (denominator: population)",0.905019646623667,1
"α-Gal sensitised individuals (denominator: population)",0.905934820518598,1
"α-Gal sensitised individuals (denominator: population)",0.907036981232107,1
"α-Gal sensitised individuals (denominator: population)",0.908094375224338,1
"α-Gal sensitised individuals (denominator: population)",0.910420374646435,1
"α-Gal sensitised individuals (denominator: population)",0.911494314741702,1
"α-Gal sensitised individuals (denominator: population)",0.913653829811742,1
"α-Gal sensitised individuals (denominator: population)",0.916338056688448,1
"α-Gal sensitised individuals (denominator: population)",0.919211093625922,1
"α-Gal sensitised individuals (denominator: population)",0.923522416424019,1
"α-Gal sensitised individuals (denominator: population)",0.924473226416297,1
"α-Gal sensitised individuals (denominator: population)",0.927400002156182,1
"α-Gal sensitised individuals (denominator: population)",0.931882814214244,1
