"SA_code","SA_name","State","cases","tested","person_years","case_rate_1M","test_rate_1M","positivity","positivity_eb","positivity_mapped","expected","spr","spr_lo","spr_hi","is_top30"
10202,"Wyong","NSW",33,176,1833347,17.9998658191821,95.9992843689711,0.1875,0.193529083161397,0.193529083161397,62.7381703470032,0.525995575221239,0.36207115137547,0.738693350680142,FALSE
10604,"Upper Hunter","NSW",6,16,339810,17.6569259291957,47.0851358111886,0.375,0.369638718377901,NA,5.70347003154574,1.05199115044248,0.38606221148042,2.28974185018718,FALSE
31304,"Narangba - Burpengary","QLD",13,41,754726,17.2247941637097,54.3243508240077,0.317073170731707,0.322472773869232,0.322472773869232,14.615141955836,0.889488452406648,0.473615139142716,1.52105234320232,FALSE
80105,"North Canberra","ACT",11,35,648956,16.9503017153705,53.9327781852699,0.314285714285714,0.320903042120709,0.320903042120709,12.4763406940063,0.881668773704172,0.440125875199514,1.57754897818375,FALSE
30702,"Darling Downs - East","QLD",8,31,477473,16.754874097593,64.9251371281727,0.258064516129032,0.275147848744532,0.275147848744532,11.0504731861199,0.723950899229232,0.312550613767992,1.42647187633494,FALSE
10603,"Port Stephens","NSW",13,43,827182,15.7160092942061,51.9837230500664,0.302325581395349,0.309446838062426,0.309446838062426,15.3280757097792,0.848116896480757,0.451586528019799,1.45030572258826,FALSE
11101,"Lake Macquarie - East","NSW",21,50,1380390,15.2130919522744,36.2216475054151,0.42,0.412678527377367,0.412678527377367,17.8233438485804,1.17823008849558,0.729342995035779,1.80104984831452,FALSE
30501,"Brisbane Inner","QLD",14,54,927315,15.0973509540987,58.2326393943805,0.259259259259259,0.269720854669636,0.269720854669636,19.2492113564669,0.727302523762701,0.397623057618369,1.22029005172433,FALSE
70202,"Barkly","NT",1,11,67083,14.9069063697211,163.975970066932,0.0909090909090909,0.189663181405205,NA,3.9211356466877,0.255028157683025,0.00645675392680603,1.42092594925795,FALSE
30504,"Brisbane Inner - West","QLD",10,25,674233,14.8316679842132,37.0791699605329,0.4,0.391003362153109,0.391003362153109,8.91167192429022,1.12212389380531,0.538102023601409,2.0636257930335,FALSE
30403,"Sherwood - Indooroopilly","QLD",9,30,612076,14.7040563590142,49.0135211967141,0.3,0.310071526799478,0.310071526799478,10.6940063091483,0.841592920353982,0.384829873707649,1.59760551448374,FALSE
11801,"Eastern Suburbs - North","NSW",21,99,1464013,14.3441349222992,67.6223503479819,0.212121212121212,0.221030485587698,0.221030485587698,35.2902208201893,0.595065701260391,0.368355047997868,0.909621135512385,FALSE
11001,"Armidale","NSW",6,20,418485,14.3374314491559,47.791438163853,0.3,0.313870323158533,0.313870323158533,7.12933753943218,0.841592920353982,0.308849769184336,1.83179348014974,FALSE
30910,"Surfers Paradise","QLD",7,31,496173,14.10798249804,62.4782082056057,0.225806451612903,0.248490008053753,0.248490008053753,11.0504731861199,0.633457036825578,0.254682582738167,1.30516359967447,FALSE
31605,"Noosa","QLD",7,24,499173,14.0231943634772,48.0795235319218,0.291666666666667,0.305497295743514,0.305497295743514,8.55520504731861,0.818215339233038,0.328965002703465,1.68583631624619,FALSE
31302,"Caboolture","QLD",11,24,851486,12.9185917325711,28.1860183256096,0.458333333333333,0.436591472208472,0.436591472208472,8.55520504731861,1.28576696165192,0.641850234665958,2.3005922598513,FALSE
11302,"Tumut - Tumbarumba","NSW",2,21,163158,12.2580566077054,128.709594380907,0.0952380952380952,0.157073101862403,0.157073101862403,7.48580441640379,0.267172355667931,0.0323558117566106,0.96511841157543,FALSE
10105,"Goulburn - Mulwaree","NSW",5,22,413528,12.0910796850516,53.2007506142268,0.227272727272727,0.256781486246502,0.256781486246502,7.8422712933754,0.637570394207562,0.207017371547683,1.4878766167117,FALSE
31602,"Caloundra","QLD",12,49,1008829,11.8949792283925,48.5711651826028,0.244897959183673,0.257986619739177,0.257986619739177,17.4668769716088,0.687014628860394,0.354990483919982,1.20007629768324,FALSE
31203,"Whitsunday","QLD",3,15,254348,11.7948637300077,58.9743186500385,0.2,0.24736694165588,NA,5.34700315457413,0.561061946902655,0.115704461922068,1.63966109917895,FALSE
31603,"Maroochy","QLD",8,29,684330,11.6902663919454,42.3772156708021,0.275862068965517,0.290643716530631,0.290643716530631,10.3375394321767,0.773878547451938,0.334105828510612,1.52484924711666,FALSE
11002,"Inverell - Tenterfield","NSW",5,22,428945,11.6565060788679,51.2886267470188,0.227272727272727,0.256781486246502,0.256781486246502,7.8422712933754,0.637570394207562,0.207017371547683,1.4878766167117,FALSE
31607,"Nambour","QLD",6,32,526299,11.4003636716011,60.8019395818727,0.1875,0.2160721503999,0.2160721503999,11.4069400630915,0.525995575221239,0.19303110574021,1.14487092509359,FALSE
30602,"Cairns - South","QLD",13,70,1170566,11.1057385914165,59.8001308768579,0.185714285714286,0.20024802950262,0.20024802950262,24.9526813880126,0.520986093552465,0.277403152926448,0.890902086732789,FALSE
11402,"Southern Highlands","NSW",6,19,560023,10.7138456813381,33.927177990904,0.31578947368421,0.326172973272657,NA,6.77287066246057,0.885887284583139,0.325105020194038,1.92820366331552,FALSE
30907,"Ormeau - Oxenford","QLD",17,70,1611305,10.5504544453099,43.4430477159818,0.242857142857143,0.252527126517843,0.252527126517843,24.9526813880126,0.681289506953224,0.396876244104363,1.09081049818488,FALSE
21102,"Manningham - East","VIC",3,11,297272,10.0917678086063,37.0031486315563,0.272727272727273,0.303867871458229,NA,3.9211356466877,0.765084473049075,0.157778811711911,2.23590149888038,FALSE
31305,"Redcliffe","QLD",7,49,699091,10.0130025990894,70.0910181936257,0.142857142857143,0.167916678762024,0.167916678762024,17.4668769716088,0.400758533501896,0.161125715609861,0.825715746732825,FALSE
30103,"Wynnum - Manly","QLD",8,42,806182,9.92331756352784,52.0974172085212,0.19047619047619,0.212759153059202,0.212759153059202,14.9716088328076,0.534344711335862,0.230692119685899,1.0528720991996,FALSE
11703,"Sydney Inner City","NSW",25,134,2527649,9.89061376797174,53.0136897963285,0.186567164179104,0.194441611013093,0.194441611013093,47.7665615141956,0.523378681812178,0.338703087159021,0.772610180168876,FALSE
31202,"Mackay","QLD",13,62,1334581,9.74088496689223,46.4565283036399,0.209677419354839,0.22363042262227,0.22363042262227,22.1009463722397,0.588210105623751,0.313197108142764,1.00585719469831,FALSE
30901,"Broadbeach - Burleigh","QLD",7,19,733773,9.53973504067334,25.8935665389705,0.368421052631579,0.365369575201505,NA,6.77287066246057,1.033535165347,0.415534740257009,2.12947745210044,FALSE
10703,"Kiama - Shellharbour","NSW",10,39,1063662,9.40148280186751,36.6657829272833,0.256410256410256,0.270727455163205,0.270727455163205,13.9022082018927,0.719310188336737,0.344937194616288,1.32283704681635,FALSE
30302,"Holland Park - Yeronga","QLD",8,45,868431,9.21201569266873,51.8175882712616,0.177777777777778,0.200368403154074,0.200368403154074,16.0410094637224,0.498721730580138,0.215312645040172,0.982680625919623,FALSE
80106,"South Canberra","ACT",3,15,332145,9.0321997922594,45.160998961297,0.2,0.24736694165588,NA,5.34700315457413,0.561061946902655,0.115704461922068,1.63966109917895,FALSE
70201,"Alice Springs","NT",4,22,443675,9.01560827182059,49.5858454950132,0.181818181818182,0.22170904578051,0.22170904578051,7.8422712933754,0.51005631536605,0.138973179179222,1.30594674581777,FALSE
11501,"Baulkham Hills","NSW",15,85,1684942,8.90238358352988,50.4468403066693,0.176470588235294,0.189279895446238,0.189279895446238,30.2996845425867,0.495054659031754,0.277078334626997,0.816517374519626,FALSE
12601,"Pennant Hills - Epping","NSW",5,13,582035,8.59054867834409,22.3354265636946,0.384615384615385,0.375220608245112,NA,4.63406940063092,1.07896528250511,0.350337090311463,2.51794504366595,FALSE
30805,"Gladstone","QLD",6,27,707879,8.47602485735556,38.1421118581,0.222222222222222,0.248309777304342,0.248309777304342,9.62460567823344,0.623402163225172,0.228777606803212,1.35688405937018,FALSE
30503,"Brisbane Inner - North","QLD",9,57,1083071,8.30970453460576,52.6281287191698,0.157894736842105,0.178255863050781,0.178255863050781,20.3186119873817,0.44294364229157,0.2025420387935,0.840845007623021,FALSE
11103,"Newcastle","NSW",16,55,1938380,8.25431545930106,28.3742093913474,0.290909090909091,0.297849796240024,0.297849796240024,19.6056782334385,0.81609010458568,0.466466007691772,1.32527920167769,FALSE
31501,"Far North","QLD",3,18,366086,8.19479575837371,49.1687745502423,0.166666666666667,0.217092453986789,NA,6.41640378548896,0.467551622418879,0.0964203849350569,1.36638424931579,FALSE
10303,"Lithgow - Mudgee","NSW",4,16,525411,7.61308765899458,30.4523506359783,0.25,0.28079885187163,NA,5.70347003154574,0.701327433628319,0.19108812137143,1.79567677549943,FALSE
31701,"Toowoomba","QLD",13,63,1766383,7.35967227945468,35.6661041235112,0.206349206349206,0.220413293414916,0.220413293414916,22.4574132492114,0.578873437280517,0.308225725473831,0.989891207480877,FALSE
80109,"Woden Valley","ACT",3,16,413459,7.25585850108475,38.6979120057853,0.1875,0.236378918618494,NA,5.70347003154574,0.525995575221239,0.108472933051939,1.53718228048026,FALSE
10102,"Queanbeyan","NSW",5,15,690200,7.24427702115329,21.7328310634599,0.333333333333333,0.340336510191058,NA,5.34700315457413,0.935103244837758,0.303625478269935,2.18221903784383,FALSE
31901,"Bundaberg","QLD",7,42,1024089,6.83534341253543,41.0120604752126,0.166666666666667,0.192145873203893,0.192145873203893,14.9716088328076,0.467551622418879,0.187980001544837,0.963335037854963,FALSE
10602,"Maitland","NSW",6,35,912482,6.57547217369767,38.3569210132364,0.171428571428571,0.200457148448322,0.200457148448322,12.4763406940063,0.480910240202276,0.176485582391049,1.04673913151414,FALSE
30804,"Biloela","QLD",1,5,161810,6.18008775724615,30.9004387862308,0.2,0.288511166418026,NA,1.78233438485804,0.561061946902655,0.0142048586389733,3.12603708836749,FALSE
30801,"Central Highlands (Qld)","QLD",2,14,328088,6.09592548340689,42.6714783838482,0.142857142857143,0.210675355855744,NA,4.99053627760252,0.400758533501896,0.0485337176349159,1.44767761736314,FALSE
10304,"Orange","NSW",4,15,664814,6.0167204661755,22.5627017481581,0.266666666666667,0.293851725923469,NA,5.34700315457413,0.748082595870207,0.203827329462859,1.91538856053273,FALSE
30204,"Sandgate","QLD",4,36,677172,5.90691877395994,53.1622689656394,0.111111111111111,0.148696807017868,0.148696807017868,12.8328075709779,0.311701081612586,0.0849280539428577,0.798078566888636,FALSE
30303,"Mt Gravatt","QLD",5,12,865957,5.77395875314825,13.8575010075558,0.416666666666667,0.395489200717616,NA,4.27760252365931,1.1688790560472,0.379531847837418,2.72777379730478,FALSE
60402,"Devonport","TAS",3,12,523566,5.72993662690091,22.9197465076036,0.25,0.287453596984129,NA,4.27760252365931,0.701327433628319,0.144630577402585,2.04957637397368,FALSE
11504,"Rouse Hill - McGraths Hill","NSW",3,15,533586,5.62233641812191,28.1116820906096,0.2,0.24736694165588,NA,5.34700315457413,0.561061946902655,0.115704461922068,1.63966109917895,FALSE
31106,"Springwood - Kingston","QLD",5,36,890836,5.61270536888945,40.411478656004,0.138888888888889,0.172219347080488,0.172219347080488,12.8328075709779,0.389626352015733,0.126510615945806,0.909257932434928,FALSE
31004,"Springfield - Redbank","QLD",6,39,1095933,5.47478723608104,35.5861170345267,0.153846153846154,0.182839349380621,0.182839349380621,13.9022082018927,0.431586113002042,0.158384497017608,0.939381271871664,FALSE
31402,"North Lakes","QLD",5,29,917269,5.45096367586826,31.6155893200359,0.172413793103448,0.206166219122575,0.206166219122575,10.3375394321767,0.483674092157461,0.157047661174104,1.12873398509163,FALSE
12801,"Cronulla - Miranda - Caringbah","NSW",7,37,1287482,5.4369692158803,28.7382658553673,0.189189189189189,0.21422530391203,0.21422530391203,13.1892744479495,0.530734274097106,0.213382704456302,1.0935154483759,FALSE
31902,"Burnett","QLD",3,22,552820,5.42672117506602,39.7959552838175,0.136363636363636,0.186636605314518,0.186636605314518,7.8422712933754,0.382542236524537,0.0788894058559556,1.11795074944019,FALSE
11004,"Tamworth - Gunnedah","NSW",5,20,929421,5.37969337899617,21.5187735159847,0.25,0.276152145620138,0.276152145620138,7.12933753943218,0.701327433628319,0.227719108702451,1.63666427838287,FALSE
30803,"Rockhampton","QLD",7,63,1337016,5.23553944006654,47.1198549605988,0.111111111111111,0.134097777762871,0.134097777762871,22.4574132492114,0.311701081612586,0.125320001029892,0.642223358569975,FALSE
